Local time,Open,High,Low,Close,Volume
02.12.2024 05:50:00.000 GMT+0530,1.05400,1.05415,1.05376,1.05399,585.81
02.12.2024 05:55:00.000 GMT+0530,1.05399,1.05415,1.05388,1.05408,644.16
02.12.2024 06:00:00.000 GMT+0530,1.05408,1.05431,1.05393,1.05408,1065.42
02.12.2024 06:05:00.000 GMT+0530,1.05408,1.05409,1.05336,1.05336,1036.47
02.12.2024 06:10:00.000 GMT+0530,1.05336,1.05353,1.05313,1.05333,839.97
02.12.2024 06:15:00.000 GMT+0530,1.05334,1.05355,1.05318,1.05355,1131.3899999999999
02.12.2024 06:20:00.000 GMT+0530,1.05356,1.05373,1.05335,1.05360,1032.94
02.12.2024 06:25:00.000 GMT+0530,1.05359,1.05371,1.05349,1.05362,1272.21
02.12.2024 06:30:00.000 GMT+0530,1.05361,1.05391,1.05351,1.05358,1435.59
02.12.2024 06:35:00.000 GMT+0530,1.05352,1.05353,1.05312,1.05340,1117.2
02.12.2024 06:40:00.000 GMT+0530,1.05339,1.05359,1.05310,1.05310,1379.27
02.12.2024 06:45:00.000 GMT+0530,1.05312,1.05331,1.05279,1.05291,1322.3799999999999
02.12.2024 06:50:00.000 GMT+0530,1.05291,1.05304,1.05285,1.05297,661.8299999999999
02.12.2024 06:55:00.000 GMT+0530,1.05298,1.05310,1.05285,1.05300,1016.5500000000001
02.12.2024 07:00:00.000 GMT+0530,1.05301,1.05329,1.05300,1.05319,1150.53
02.12.2024 07:05:00.000 GMT+0530,1.05321,1.05345,1.05320,1.05333,433.32
02.12.2024 07:10:00.000 GMT+0530,1.05332,1.05351,1.05329,1.05348,714.81
02.12.2024 07:15:00.000 GMT+0530,1.05349,1.05357,1.05325,1.05331,973.4399999999998
02.12.2024 07:20:00.000 GMT+0530,1.05330,1.05334,1.05310,1.05316,1199.96
02.12.2024 07:25:00.000 GMT+0530,1.05315,1.05324,1.05291,1.05305,1326.72
02.12.2024 07:30:00.000 GMT+0530,1.05304,1.05319,1.05298,1.05301,1697.9999999999998
02.12.2024 07:35:00.000 GMT+0530,1.05302,1.05309,1.05259,1.05260,1496.4700000000003
02.12.2024 07:40:00.000 GMT+0530,1.05261,1.05270,1.05249,1.05250,1360.53
02.12.2024 07:45:00.000 GMT+0530,1.05249,1.05249,1.05200,1.05243,1660.8700000000001
02.12.2024 07:50:00.000 GMT+0530,1.05242,1.05258,1.05227,1.05232,1159
02.12.2024 07:55:00.000 GMT+0530,1.05233,1.05249,1.05215,1.05240,1172.81
02.12.2024 08:00:00.000 GMT+0530,1.05243,1.05280,1.05241,1.05266,1038.96
02.12.2024 08:05:00.000 GMT+0530,1.05265,1.05273,1.05238,1.05243,779.94
02.12.2024 08:10:00.000 GMT+0530,1.05242,1.05265,1.05239,1.05247,1005.96
02.12.2024 08:15:00.000 GMT+0530,1.05248,1.05261,1.05242,1.05252,694.6100000000001
02.12.2024 08:20:00.000 GMT+0530,1.05253,1.05264,1.05250,1.05264,779.8199999999999
02.12.2024 08:25:00.000 GMT+0530,1.05262,1.05270,1.05246,1.05253,952.4100000000001
02.12.2024 08:30:00.000 GMT+0530,1.05254,1.05264,1.05237,1.05244,894.75
02.12.2024 08:35:00.000 GMT+0530,1.05245,1.05269,1.05245,1.05260,1212.1200000000001
02.12.2024 08:40:00.000 GMT+0530,1.05259,1.05265,1.05225,1.05237,758.28
02.12.2024 08:45:00.000 GMT+0530,1.05239,1.05256,1.05238,1.05246,533.22
02.12.2024 08:50:00.000 GMT+0530,1.05246,1.05246,1.05200,1.05202,840.6600000000001
02.12.2024 08:55:00.000 GMT+0530,1.05202,1.05233,1.05201,1.05231,703.9200000000001
02.12.2024 09:00:00.000 GMT+0530,1.05230,1.05261,1.05230,1.05237,983.6400000000001
