Local time,Open,High,Low,Close,Volume
14.10.2024 02:30:00.000 GMT+0530,1.09310,1.09315,1.09310,1.09315,6470
14.10.2024 02:35:00.000 GMT+0530,1.09315,1.09317,1.09315,1.09317,13349.999899999999
14.10.2024 02:40:00.000 GMT+0530,1.09313,1.09313,1.09313,1.09313,750
14.10.2024 02:45:00.000 GMT+0530,1.09315,1.09329,1.09315,1.09326,9709.999899999999
14.10.2024 02:50:00.000 GMT+0530,1.09326,1.09330,1.09326,1.09330,4800
14.10.2024 02:55:00.000 GMT+0530,1.09330,1.09330,1.09307,1.09320,8610.000100000001
14.10.2024 03:00:00.000 GMT+0530,1.09319,1.09319,1.09315,1.09317,84639.9984
14.10.2024 03:05:00.000 GMT+0530,1.09317,1.09320,1.09313,1.09313,187429.9964
14.10.2024 03:10:00.000 GMT+0530,1.09313,1.09317,1.09313,1.09314,157500.002
14.10.2024 03:15:00.000 GMT+0530,1.09314,1.09317,1.09313,1.09314,43200.0001
14.10.2024 03:20:00.000 GMT+0530,1.09314,1.09322,1.09313,1.09322,56700.0008
14.10.2024 03:25:00.000 GMT+0530,1.09322,1.09335,1.09313,1.09316,54000.0017
14.10.2024 03:30:00.000 GMT+0530,1.09313,1.09335,1.09281,1.09327,589500
14.10.2024 03:35:00.000 GMT+0530,1.09329,1.09333,1.09303,1.09317,291149.9948
14.10.2024 03:40:00.000 GMT+0530,1.09317,1.09329,1.09313,1.09316,240299.9973
14.10.2024 03:45:00.000 GMT+0530,1.09316,1.09316,1.09292,1.09307,246719.9954
14.10.2024 03:50:00.000 GMT+0530,1.09306,1.09308,1.09302,1.09303,159749.99810000003
14.10.2024 03:55:00.000 GMT+0530,1.09305,1.09316,1.09305,1.09305,124319.99879999999
14.10.2024 04:00:00.000 GMT+0530,1.09305,1.09319,1.09302,1.09303,535829.9942
14.10.2024 04:05:00.000 GMT+0530,1.09303,1.09305,1.09288,1.09292,453809.9936
14.10.2024 04:10:00.000 GMT+0530,1.09295,1.09299,1.09288,1.09288,395229.99769999995
14.10.2024 04:15:00.000 GMT+0530,1.09289,1.09292,1.09280,1.09284,253279.99970000001
14.10.2024 04:20:00.000 GMT+0530,1.09285,1.09285,1.09281,1.09281,18900
14.10.2024 04:25:00.000 GMT+0530,1.09280,1.09280,1.09270,1.09271,188930.0002
14.10.2024 04:30:00.000 GMT+0530,1.09273,1.09281,1.09273,1.09273,186880.0001
14.10.2024 04:35:00.000 GMT+0530,1.09274,1.09283,1.09273,1.09282,396759.9983
14.10.2024 04:40:00.000 GMT+0530,1.09281,1.09283,1.09255,1.09257,156320.0007
14.10.2024 04:45:00.000 GMT+0530,1.09258,1.09260,1.09239,1.09257,276990.0036
14.10.2024 04:50:00.000 GMT+0530,1.09256,1.09267,1.09254,1.09262,240050.00309999997
14.10.2024 04:55:00.000 GMT+0530,1.09261,1.09264,1.09258,1.09258,135469.9993
14.10.2024 05:00:00.000 GMT+0530,1.09259,1.09259,1.09245,1.09254,181149.9996
14.10.2024 05:05:00.000 GMT+0530,1.09255,1.09255,1.09230,1.09230,159800.00209999998
14.10.2024 05:10:00.000 GMT+0530,1.09231,1.09234,1.09226,1.09228,280800.003
14.10.2024 05:15:00.000 GMT+0530,1.09226,1.09240,1.09224,1.09227,270540.0009
14.10.2024 05:20:00.000 GMT+0530,1.09226,1.09235,1.09222,1.09223,408509.99069999997
14.10.2024 05:25:00.000 GMT+0530,1.09223,1.09235,1.09221,1.09230,437399.9939
14.10.2024 05:30:00.000 GMT+0530,1.09231,1.09243,1.09153,1.09170,1015740.0359
14.10.2024 05:35:00.000 GMT+0530,1.09170,1.09181,1.09153,1.09164,507240.0054
14.10.2024 05:40:00.000 GMT+0530,1.09167,1.09194,1.09165,1.09176,614770.0041
